Code,Title,Description,ItemDescriptions,CrossReferences
111310,Orange Groves,This industry comprises establishments primarily engaged in growing oranges.,Orange groves,
111320,Citrus (except Orange) Groves ,"This industry comprises establishments primarily engaged in growing citrus fruits (except oranges).

Illustrative Examples:

Citrus groves (except oranges)
Mandarin groves
Grapefruit groves 
Tangelo groves
Lemon groves
Tangerine groves


Cross-References.",Citrus groves (except orange) Grapefruit groves Lemon groves Lime groves Mandarin groves Tangelo groves Tangerine groves,"Establishments primarily engaged in growing oranges are classified in Industry 111310, Orange Groves."
111331,Apple Orchards ,"This U.S. industry comprises establishments primarily engaged in growing apples.

Cross-References.",Apple orchards,"Establishments engaged in growing apples in combination with tree nut(s) with the apples or family of tree nuts not accounting for one-half of the establishment's agricultural production (i.e., value of crops for market) are classified in U.S. Industry 111336, Fruit and Tree Nut Combination Farming."
111332,Grape Vineyards ,"This U.S. industry comprises establishments primarily engaged in growing grapes and/or growing grapes to sun dry into raisins.

Cross-References. Establishments primarily engaged in--",Grape farming without making wine Raisin farming,"Drying grapes artificially--are classified in U.S. Industry 311423, Dried and Dehydrated Food Manufacturing; and Growing grapes in combination with tree nut(s) with the grapes or family of tree nuts not accounting for one-half of the establishment's agricultural production (i.e., value of crops for market)--are classified in U.S. Industry 111336, Fruit and Tree Nut Combination Farming."
111333,Strawberry Farming ,"This U.S. industry comprises establishments primarily engaged in growing strawberries.

Cross-References.",Strawberry farming,"Establishments engaged in growing strawberries in combination with tree nut(s) with the strawberries or family of tree nuts not accounting for one-half of the establishment's agricultural production (i.e., value of crops for market) are classified in U.S. Industry 111336, Fruit and Tree Nut Combination Farming."
111334,Berry (except Strawberry) Farming ,"This U.S. industry comprises establishments primarily engaged in growing berries.

Illustrative Examples:

Berry (except strawberries) farming 
Cranberry farming
Blackberry farming
Currant farming
Blueberry farming
Raspberry farming


Cross-References. Establishments primarily engaged in--",Berry (except strawberry) farming Blackberry farming Blueberry farming Boysenberry farming Cranberry farming Currant farming Dewberry farming Gooseberry farming Huckleberry farming Loganberry farming Raspberry farming Youngberry farming,"Growing strawberries--are classified in U.S. Industry 111333, Strawberry Farming; Harvesting berries from native and non-cultivated bushes or vines--are classified in Industry 113210, Forest Nurseries and Gathering of Forest Products; and Growing berries in combination with tree nut(s) with the berries or family of tree nuts not accounting for one-half of the establishment's agricultural production (i.e., value of crops for market)--are classified in U.S. Industry 111336, Fruit and Tree Nut Combination Farming."
111335,Tree Nut Farming ,"This U.S. industry comprises establishments primarily engaged in growing tree nuts.

Illustrative Examples:

Almond farming
Pistachio farming
Filbert farming
Tree nut farming
Macadamia farming
Walnut farming
Pecan farming


Cross-References. Establishments primarily engaged in--",Almond farming Brazil nut farming Cashew farming Filbert farming Hazelnut farming Macadamia farming Pecan farming Pistachio farming Tree nut farming Walnut farming,"Growing coconut and coffee--are classified in U.S. Industry 111339, Other Noncitrus Fruit Farming; and Growing tree nut(s) in combination with fruit(s) with no one fruit (or family of fruit or of tree nuts) accounting for one-half of the establishment's agricultural production (i.e., value of crops for market)--are classified in U.S. Industry 111336, Fruit and Tree Nut Combination Farming."
111336,Fruit and Tree Nut Combination Farming ,"This U.S. industry comprises establishments primarily engaged in growing a combination of fruit(s) and tree nut(s) with no one fruit (or family of fruit) or family of tree nuts accounting for one-half of the establishment's agricultural production (i.e., value of crops for market).

Cross-References.",Fruit and tree nut combination farming,"Establishments engaged in growing fruit(s) or the family of tree nut(s) accounting for one-half of the establishment's agricultural production (i.e., value of crops for market) are classified in Industry Group 1113, Fruit and Tree Nut Farming, accordingly by the prominent fruit(s) or tree nut(s) grown."
111339,Other Noncitrus Fruit Farming ,"This U.S. industry comprises establishments primarily engaged in growing noncitrus fruits (except apples, grapes, berries, and fruit(s) and tree nut(s) combinations).

Illustrative Examples:

Apricot farming
Fig farming
Banana farming
Noncitrus fruit farming
Cherry farming
Peach farming
Coffee farming
Pineapple farming
Date farming
Prune farming


Cross-References. Establishments primarily engaged in--","Apricot farming Avocado farming Banana farming Cactus fruit farming Cherry farming Coconut tree farming Coffee farming Date farming Deciduous tree fruit (except apples, citrus) farming Fig farming Guava farming Kiwi fruit farming Mango farming Nectarine farming Noncitrus fruit farming Olive farming Papaya farming Passion fruit farming Peach farming Pear farming Persimmon farming Pineapple farming Plantain farming Plum farming Pomegranate farming Prickly pear farming Prune farming Quince farming","Growing apples--are classified in U.S. Industry 111331, Apple Orchards; Growing grapes including sun drying of grapes into raisins--are classified in U.S. Industry 111332, Grape Vineyards; Growing strawberries--are classified in U.S. Industry 111333, Strawberry Farming; Growing berries (except strawberries)--are classified in U.S. Industry 111334, Berry (except Strawberry) Farming; Drying fruit artificially--are classified in U.S. Industry 311423, Dried and Dehydrated Food Manufacturing; and Growing noncitrus fruit(s) in combination with tree nut(s) with no one fruit (or family of fruits) or family of tree nuts accounting for one-half of the establishment's agricultural production (i.e., value of crops for market)--are classified in U.S. Industry 111336, Fruit and Tree Nut Combination Farming."
111411,Mushroom Production ,"This U.S. industry comprises establishments primarily engaged in growing mushrooms under cover in mines underground, or in other controlled environments.
",Mushroom farming Mushroom spawn farming Shitake mushroom farming,
111419,Other Food Crops Grown Under Cover ,"This U.S. industry comprises establishments primarily engaged in growing food crops (except mushrooms) under glass or protective cover.

Illustrative Examples:
 
Alfalfa sprout farming, grown under cover
Melon farming, grown under cover
Vegetable farming, grown under cover
Hydroponic crop farming
Fruit farming, grown under cover


Cross-References.","Alfalfa sprout farming, grown under cover Bean sprout farming,  grown under cover Cucumber farming, grown under cover Eggplant farming, grown under cover Endive farming, grown under cover English pea farming, grown under cover Escarole farming, grown under cover Fruit farming, grown under cover Garlic farming, grown under cover Gingerroot farming, grown under cover Ginseng farming, grown under cover Herb farming, grown under cover Hydroponic crop farming Marijuana, grown under cover Melon farming, grown under cover Rhubarb, grown under cover Spice farming, grown under cover Tomato farming, grown under cover Truffles farming, grown under cover Vegetable farming, grown under cover","Establishments primarily engaged in growing mushrooms under cover are classified in U.S. Industry 111411, Mushroom Production."
111421,Nursery and Tree Production ,"This U.S. industry comprises establishments primarily engaged in (1) growing nursery products, nursery stock, shrubbery, bulbs, fruit stock, sod, and so forth, under cover or in open fields and/or (2) growing short rotation woody trees with a growth and harvest cycle of 10 years or less for pulp or tree stock.

Cross-References. Establishments primarily engaged in--","Azalea farming Christmas tree growing Corms farming Field nurseries (i.e., growing of flowers and shrubbery) Flower bulb growing Fruit stock (e.g., plants, seedlings, trees) growing Herbaceous perennial growing Nursery stock growing Nursery with tree production (except for reforestation) Preseeded mat farming Propagation material farming Rose bush growing Short rotation woody tree growing (i.e., growing and harvesting cycle ten years or less) Shrubbery farming Sod farming Tissue culture farming Tree crop farming (except forestry), short rotation growing and harvesting cycle Turf farming","Growing vegetable and melon bedding plants--are classified in Industry 11121, Vegetable and Melon Farming; Operating timber tracts (i.e., growing cycle greater than 10 years)--are classified in Industry 113110, Timber Tract Operations; and Retailing nursery, tree stock, and floriculture products primarily purchased from others--are classified in Industry 444220, Nursery, Garden Center, and Farm Supply Stores."
111422,Floriculture Production ,"This U.S. industry comprises establishments primarily engaged in growing and/or producing floriculture products (e.g., cut flowers and roses, cut cultivated greens, potted flowering and foliage plants, and flower seeds) under cover and in open fields.

Cross-References.","Bedding plant growing (except vegetable and melon bedding plants) Cultivated florist greens growing Cut flower growing Cut rose growing Cuttings farming Flower growing Flower seed production Foliage growing Hanging basket plant growing House plant growing Ornamental plant growing Plant, ornamental, growing Plant, potted flower and foliage, growing Plug (i.e., floriculture products) growing","Establishments primarily engaged in retailing floriculture products primarily purchased from others are classified in Industry 444220, Nursery, Garden Center, and Farm Supply Stores."
111910,Tobacco Farming,This industry comprises establishments primarily engaged in growing tobacco.,"Tobacco farming, field and seed production",
111920,Cotton Farming,"This industry comprises establishments primarily engaged in growing cotton.

Cross-References.","Cotton farming, field and seed production Cottonseed farming","Establishments primarily engaged in ginning cotton are classified in U.S. Industry 115111, Cotton Ginning."
111930,Sugarcane Farming,This industry comprises establishments primarily engaged in growing sugarcane.,"Cane farming, sugar, field production Sugarcane farming, field production",
111940,Hay Farming ,"This industry comprises establishments primarily engaged in growing hay, alfalfa, clover, and/or mixed hay.

Cross-References. Establishments primarily engaged in--","Alfalfa hay farming Clover hay farming Grass hay farming Hay farming (e.g., alfalfa hay, clover hay, grass hay) Mixed hay farming","Growing grain hay--are classified in Industry Group 1111, Oilseed and Grain Farming; and Growing grass and hay seeds--are classified in U.S. Industry 111998, All Other Miscellaneous Crop Farming."
111991,Sugar Beet Farming ,"This U.S. industry comprises establishments primarily engaged in growing sugar beets.

Cross-References.",Sugar beet farming,"Establishments primarily engaged in growing beets (except sugar beets) are classified in U.S. Industry 111219, Other Vegetable (except Potato) and Melon Farming."
111992,Peanut Farming ,This U.S. industry comprises establishments primarily engaged in growing peanuts.,Peanut farming,
111998,All Other Miscellaneous Crop Farming ,"This U.S. industry comprises establishments primarily engaged in one of the following: (1) growing crops (except oilseeds and/or grains; vegetables and/or melons; fruits and/or tree nuts; greenhouse, nursery, and/or floriculture products; tobacco; cotton; sugarcane; hay; sugar beets; or peanuts); (2) growing a combination of crops (except a combination of oilseed(s) and grain(s); and a combination of fruit(s) and tree nut(s)) with no one crop or family of crops accounting for one-half of the establishment's agricultural production (i.e., value of crops for market); or (3) gathering tea or maple sap.

Illustrative Examples:

Agave farming
Mint farming
General combination crop farming (except oilseed and grain; vegetables and melons; fruit and tree nut combinations)
Hay seed farming
Grass seed farming
Hop farming
Spice farming


Cross-References. Establishments primarily engaged in--","Agave farming Alfalfa seed farming Aloe farming Amaranth farming Bentgrass seed farming Bluegrass-Kentucky seed farming Chicory farming Clover seed farming Crimson cloves seed farming Fescue seed farming General combination crop farming (except fruit and nut combinations, oilseed and grain, vegetable) Grass seed farming Guar farming Hay seed farming Herb farming, open field Hop farming Jojoba farming Kenaf farming Maple sap concentrating (i.e., producing pure maple syrup in the field) Maple sap gathering Maple syrup (i.e., maple sap reducing) Marijuana, grown in an open field Mint farming Orchard grass seed farming Ryegrass seed farming Sorghum sudan seed farming Spice farming Syrup, pure maple (i.e., maple syrup reducing) Tea farming","Growing oilseeds and/or wheat, corn, rice, or other grains--are classified in Industry Group 1111, Oilseed and Grain Farming; Growing vegetables and/or melons--are classified in Industry Group 1112, Vegetable and Melon Farming; Growing fruits and/or tree nuts--are classified in Industry Group 1113, Fruit and Tree Nut Farming; Growing greenhouse, nursery, and/or floriculture products--are classified in Industry Group 1114, Greenhouse, Nursery, and Floriculture Production; Growing tobacco--are classified in Industry 111910, Tobacco Farming; Growing cotton--are classified in Industry 111920, Cotton Farming; Growing sugarcane--are classified in Industry 111930, Sugarcane Farming; Growing hay--are classified in Industry 111940, Hay Farming; Growing sugar beets--are classified in U.S. Industry 111991, Sugar Beet Farming; Growing peanuts--are classified in U.S. Industry 111992, Peanut Farming; and Growing algae, seaweed, or other aquatic plants--are classified in U.S. Industry 112519, Other Aquaculture."
112111,Beef Cattle Ranching and Farming ,"This U.S. industry comprises establishments primarily engaged in raising cattle (including cattle for dairy herd replacements).

Cross-References.","Backgrounding, cattle Beef cattle ranching or farming Calf (e.g., feeder, stocker, veal) production Cattle conditioning operations Cattle farming or ranching Dairy heifer replacement production Feeder calf production Stocker calf production Veal calf production","Establishments primarily engaged in milking dairy cattle are classified in Industry 112120, Dairy Cattle and Milk Production."
112112,Cattle Feedlots ,"This U.S. industry comprises establishments primarily engaged in feeding cattle for fattening.

Cross-References.","Beef cattle feedlots (except stockyards for transportation) Cattle feedlots (except stockyards for transportation) Fattening cattle Feed yards (except stockyards for transportation), cattle Feedlots (except stockyards for transportation), cattle","Establishments primarily engaged in operating stockyards for transportation and not buying, selling, or auctioning livestock are classified in U.S. Industry 488999, All Other Support Activities for Transportation."
112120,Dairy Cattle and Milk Production,"This industry comprises establishments primarily engaged in milking dairy cattle.

Cross-References. Establishments primarily engaged in--","Dairy cattle farming Milk production, dairy cattle Milking dairy cattle","Raising dairy herd replacements--are classified in U.S. Industry 112111, Beef Cattle Ranching and Farming; and Milking goats--are classified in Industry 112420, Goat Farming."
112130,Dual-Purpose Cattle Ranching and Farming ,"This industry comprises establishments primarily engaged in raising cattle for both milking and meat production.

Cross-References. Establishments primarily engaged in--",,"Milking dairy cattle--are classified in Industry 112120, Dairy Cattle and Milk Production; Raising cattle or feeding cattle for fattening--are classified in Industry 11211, Beef Cattle Ranching and Farming, including Feedlots; and Operating stockyards for transportation and not buying, selling, or auctioning livestock--are classified in U.S. Industry 488999, All Other Support Activities for Transportation."
112210,Hog and Pig Farming ,"This industry comprises establishments primarily engaged in raising hogs and pigs.  These establishments may include farming activities, such as breeding, farrowing, and the raising of weanling pigs, feeder pigs, or market size hogs.

Cross-References.","Farrow-to-finish operations Feeder pig farming Feedlots (except stockyards for transportation), hog Hog and pig (including breeding, farrowing, nursery, and finishing activities) farming Hog feedlots (except stockyards for transportation) Pig farming Swine farming Weaning pig operations","Establishments primarily engaged in operating stockyards for transportation and not buying, selling, or auctioning livestock are classified in U.S. Industry 488999, All Other Support Activities for Transportation."
112310,Chicken Egg Production ,"This industry comprises establishments primarily engaged in raising chickens for egg production.  The eggs produced may be for use as table eggs or hatching eggs.

Cross-References.","Chicken egg production Chicken eggs (table, hatching) production Cull hen production Egg production, chicken Eggs, chicken (table, hatching) production Layer-type chicken production Started pullet production","Establishments primarily engaged in raising chickens for the production of meat are classified in Industry 112320, Broilers and Other Meat Type Chicken Production."
112320,Broilers and Other Meat Type Chicken Production ,"This industry comprises establishments primarily engaged in raising broilers, fryers, roasters, and other meat type chickens.

Cross-References.",Broiler chicken production Chicken production (except egg laying) Cornish hen production Fryer chicken production Roaster chicken production,"Establishments primarily engaged in raising chickens for egg production are classified in Industry 112310, Chicken Egg Production."
112330,Turkey Production,This industry comprises establishments primarily engaged in raising turkeys for meat or egg production.,"Egg production, turkey Turkey egg production Turkey production",
112340,Poultry Hatcheries,This industry comprises establishments primarily engaged in hatching poultry of any kind.,"Chicken hatcheries Egg hatcheries, poultry Hatcheries, poultry Poultry hatcheries Turkey hatcheries",
112390,Other Poultry Production ,"This industry comprises establishments primarily engaged in raising poultry (except chickens for meat or egg production and turkeys).

Illustrative Examples:

Duck production
Ostrich production
Emu production
Pheasant production
Geese production
Quail production


Cross-References. Establishments primarily engaged in--",Chukar partridge production Duck production Emu production Geese production Hungarian partridge production Ostrich production Partridge production Pheasant production Quail production Ratite production,"Raising aviary birds, such as parakeets, canaries, and love birds--are classified in Industry 112990, All Other Animal Production; Raising chickens for egg production--are classified in Industry 112310, Chicken Egg Production; Raising broilers and other meat type chickens--are classified in Industry 112320, Broilers and Other Meat Type Chicken Production; Raising turkeys--are classified in Industry 112330, Turkey Production; and Raising swans, peacocks, flamingos or other ""adornment birds""--are classified in Industry 112990, All Other Animal Production."
112410,Sheep Farming,"This industry comprises establishments primarily engaged in raising sheep and lambs, or feeding lambs for fattening.  The sheep or lambs may be raised for sale or wool production.

Cross-References.","Dairy sheep farming Feedlots (except stockyards for transportation), lamb Lamb feedlots (except stockyards for transportation) Milking dairy sheep Sheep farming (e.g., meat, milk, wool production)","Establishments primarily engaged in operating stockyards for transportation and not buying, selling, or auctioning livestock are classified in U.S. Industry 488999, All Other Support Activities for Transportation."
112420,Goat Farming,This industry comprises establishments primarily engaged in raising goats.,"Angora goat farming Dairy goat farming Goat farming (e.g., meat, milk, mohair production) Milking dairy goat Mohair farming",
112511,Finfish Farming and Fish Hatcheries ,"This U.S. industry comprises establishments primarily engaged in (1) farm raising finfish (e.g., catfish, trout, goldfish, tropical fish, minnows) and/or (2) hatching fish of any kind.

Cross-References.","Baitfish production, farm raising Catfish production, farm raising Finfish production, farm raising Finfish, hatcheries Fish farms, finfish Goldfish production, farm raising Hatcheries, finfish Hybrid striped bass production Minnow production, farm raising Ornamental fish production, farm raising Tilapia production Tropical fish production, farm raising Trout production, farm raising","Establishments primarily engaged in the catching or taking of finfish from their natural habitat are classified in U.S. Industry 114111, Finfish Fishing."
112512,Shellfish Farming ,"This U.S. industry comprises establishments primarily engaged in farm raising shellfish (e.g., crayfish, shrimp, oysters, clams, mollusks).

Cross-References.","Clam production, farm raising Crawfish production, farm raising Crustacean production, farm raising Cultured pearl production, farm raising Fish farms, shellfish Hatcheries, shellfish Mollusk production, farm raising Mussel production, farm raising Oyster production, farm raising Shellfish hatcheries Shrimp production, farm raising","Establishments primarily engaged in the catching or taking of shellfish from their natural habitat are classified in U.S. Industry 114112, Shellfish Fishing."
112519,Other Aquaculture ,"This U.S. industry comprises establishments primarily engaged in (1) farm raising of aquatic animals (except finfish and shellfish) and/or (2) farm raising of aquatic plants.  Alligator, algae, frog, seaweed, or turtle production is included in this industry.

Cross-References. Establishments primarily engaged in--","Algae farming Alligator production, farm raising Animal aquaculture (except finfish, shellfish) Frog production, farm raising Plant aquaculture Sea plant agriculture Seaweed farming Turtle production, farm raising","Miscellaneous fishing activities, such as catching or taking of terrapins, turtles, and frogs from their natural habitat--are classified in U.S. Industry 114119, Other Marine Fishing; Farm raising finfish--are classified in U.S. Industry 112511, Finfish Farming and Fish Hatcheries; Farm raising shellfish--are classified in U.S. Industry 112512, Shellfish Farming; and Growing hydroponic crops--are classified in U.S. Industry 111419, Other Food Crops Grown Under Cover."
112910,Apiculture,"This industry comprises establishments primarily engaged in raising bees.  These establishments may collect and gather honey; and/or sell queen bees, packages of bees, royal jelly, bees' wax, propolis, venom, pollen, and/or other bee products.
","Bee pollen collection Bee production (i.e., apiculture) Beeswax production Honey bee production Propolis production, bees Queen bee production Royal jelly production, bees",
112920,Horses and Other Equine Production,"This industry comprises establishments primarily engaged in raising horses, mules, donkeys, and other equines.

Cross-References.",Burro production Donkey production Horse (including thoroughbreds) production Mule production Pony production,"Establishments primarily engaged in equine boarding are classified in Industry 115210, Support Activities for Animal Production; and Equine owners entering horses in racing or other spectator sporting events are classified in U.S. Industry 711219, Other Spectator Sports."
112930,Fur-Bearing Animal and Rabbit Production,"This industry comprises establishments primarily engaged in raising fur-bearing animals including rabbits.  These animals may be raised for sale or for their pelt production.

Cross-References.",Chinchilla production Fox production Fur-bearing animal production Mink production Rabbit production,"Establishments primarily engaged in the trapping or hunting of wild fur-bearing animals are classified in Industry 114210, Hunting and Trapping."
